@relation dataset1-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute y numeric

@data
-0.80963,2.3691,-2.0627,0.73407
0.85558,1.3232,-0.95542,7.0824
-2.2382,-1.2816,-1.3456,-14.569
1.1715,0.91058,2.0459,21.387
-0.002591,-1.8107,2.1844,7.6714
2.2165,0.64906,-2.3406,1.5427
-1.0511,1.7851,0.46824,10.328
-0.6172,1.999,-2.2809,-1.2602
-1.9312,-0.75816,-0.37549,-6.7037
2.3243,-0.068449,0.10791,11.238
-0.33744,0.89759,1.7017,15.087
-2.0772,1.0206,0.62515,4.9766
1.0834,-0.19558,-1.224,0.34794
0.033937,-0.67864,2.0235,11.505
-0.85956,-1.0987,1.3365,3.7091
1.2676,-2.119,0.31333,0.89359
1.68,-0.27688,1.9858,17.861
-1.2314,-1.6715,-0.6596,-9.6781
0.17213,-0.50626,-0.81134,-1.5654
-0.32417,2.1029,0.59428,14.411
-1.7115,0.056672,-2.0655,-11.235
0.50241,2.0707,-0.62251,10.678
2.1873,-2.0403,-1.5631,-5.415
-1.9612,2.4652,1.5526,15.74
1.9999,-2.0178,1.1162,7.5096
0.25232,-0.93426,0.87337,5.3868
-0.36322,1.4269,2.0699,18.967
-1.7381,0.512,1.6048,8.8577
-1.2623,-0.17046,0.24362,0.74947
-0.26316,-1.0093,-2.4223,-12.938
0.16392,-1.8341,-2.0266,-12.978
-0.72674,-1.025,0.073791,-1.9111
1.3656,-1.6669,2.2624,12.741
1.9084,-0.91448,1.7153,14.644
1.1705,-1.9508,2.1751,10.583
-0.46784,1.6604,2.3671,21.074
0.52089,2.358,-0.63737,11.808
0.70553,-1.4086,-0.8955,-3.9955
-1.8627,1.0304,1.4162,9.6148
-0.01904,-2.3049,-1.4389,-12.471
-0.94765,0.58148,2.2958,14.962
0.39287,0.84682,2.1512,19.322
2.218,-2.314,-0.67135,-1.9586
-0.3653,-2.4833,-0.77544,-10.906
-2.3344,-1.7877,0.96341,-5.3367
2.1472,1.812,1.083,23.105
2.1249,-1.1198,1.5017,13.404
-0.70847,0.15846,0.46835,4.8502
-1.2001,0.11111,-2.0141,-9.2264
1.4343,0.33809,0.29755,11.143
0.057911,-0.83484,-2.2846,-10.588
0.31264,-0.43292,1.2882,9.647
0.92397,-0.42826,0.79824,9.0501
-2.038,2.4196,0.4973,10.051
1.8629,-2.2113,-1.365,-6.0817
2.2147,-0.51729,1.0686,13.918
-2.017,1.4566,1.1225,9.3879
1.7294,0.47093,-0.77891,7.1774
2.047,-0.95218,-2.3362,-5.349
-2.4433,2.009,1.7181,13.297
0.11841,-2.0344,1.3515,2.9753
0.75173,-0.90486,0.048233,2.8769
-0.57427,1.9348,1.0348,15.19
0.74651,0.78716,1.4559,16.668
1.3143,0.92258,-0.84665,7.3999
0.37843,-0.13026,2.0684,14.956
0.6596,-1.7938,0.38352,0.72129
-1.109,2.2546,-1.0605,4.3893
1.6992,1.9131,-1.1657,10.922
-0.36583,-0.31281,1.9509,11.406
0.65811,1.6748,-0.66949,9.326
1.6673,-0.87428,-1.7499,-3.2447
-1.1491,-0.6618,2.2316,9.0638
-0.496,1.4742,0.75418,12.18
0.27127,-2.0035,2.4111,8.8554
-0.28067,2.2589,-1.5308,4.5395
-2.0481,-2.4926,1.6437,-3.8962
1.2219,-1.023,-0.03099,3.4187
-2.3369,-2.2577,0.45389,-9.7722
-0.35129,-0.2863,-2.2755,-9.5768
-2.3137,1.4492,0.32229,4.4673
2.379,2.0676,0.66772,22.746
0.1117,0.16627,-0.009501,4.9527
2.0481,1.5204,-2.2019,5.2166
-0.58376,0.3133,0.075816,3.881
1.9223,1.2544,-2.234,3.6142
-1.2249,-2.4538,1.7182,-0.89933
2.0452,-0.11608,0.47336,12.038
1.9728,-1.2484,0.95509,9.7005
-0.50741,-0.96041,0.73613,2.3168
0.6251,2.3347,0.6172,18.3
0.33799,-1.456,2.2693,10.537
1.9726,0.10238,-1.6153,2.2508
-1.4292,-1.3723,-0.12547,-6.404
-2.4807,0.33599,1.712,6.4619
1.9029,2.4908,-0.015183,19.596
-1.3244,-1.8407,1.312,-0.77575
-1.2757,2.2734,-1.6006,1.2634
0.70459,-1.8806,0.95811,3.3819
-0.97738,-1.5688,2.0721,5.1533
1.6281,0.73251,-1.6867,3.3808
1.9184,-1.8592,-0.35952,0.52112
2.2269,-2.0934,-2.2907,-9.1467
-0.54602,0.79614,-1.3713,-1.3099
1.5066,-2.363,0.83075,3.2215
-1.7144,2.4259,1.8567,17.844
0.62583,0.19665,-0.77636,2.7823
0.99493,-0.63083,-2.3637,-7.3572
-2.0707,1.0337,2.0264,12.055
0.1559,2.2371,-0.14469,12.692
1.9428,-0.58861,2.0523,17.736
-1.1817,0.96454,-0.8601,0.012656
-1.3261,0.51036,0.95552,6.8408
1.6983,1.3763,-2.4128,2.5362
-0.0223,0.45917,0.061734,6.0785
-1.7382,-0.6191,-0.84093,-7.8956
-1.3462,1.7532,-0.81944,2.8773
0.78977,-1.3713,2.2667,12.218
0.31474,1.4848,1.2525,17.146
-1.0409,2.4844,-0.83038,6.6632
0.61152,-1.0934,0.66416,4.7816
1.0795,1.0519,-0.42227,9.3348
-1.0963,0.82321,0.3825,5.9163
-0.43863,-0.42582,2.2975,12.468
-0.68897,-0.008651,0.57924,4.7947
1.407,2.2456,-1.7471,8.4678
-1.8226,2.2659,1.6914,16.053
2.0103,1.1646,1.1308,20.344
-1.0518,-0.5766,-1.9558,-11.241
-0.00221,-2.2996,-1.6932,-13.671
1.418,0.41467,-1.0149,4.8378
0.88531,0.32356,-0.38209,6.0397
-1.7509,-0.72409,0.14207,-3.4388
0.9831,1.901,-1.1245,8.9307
-1.8549,0.62265,1.6398,9.1247
2.2297,0.62008,1.4639,20.489
1.9321,-1.0213,-1.1313,0.054706
0.075023,-2.1266,0.57847,-1.389
0.89704,-1.0315,-1.9922,-7.396
2.384,-1.3263,0.84982,10.096
-1.8727,-0.77051,-0.76302,-8.5152
1.2612,1.7425,0.84748,18.991
1.6353,-1.6982,-1.0235,-3.0044
1.4072,-1.7107,0.90214,5.8894
-1.5456,0.043296,-0.53113,-3.1192
-0.35679,0.51651,-0.54091,2.2911
-2.4277,-1.693,-1.4652,-17.381
-0.87357,0.67727,1.1226,9.7014
-1.8265,1.7197,1.5965,13.382
-0.24741,1.4113,2.1324,19.565
0.36137,-1.1772,0.0706,0.72845
1.4601,-0.92651,-1.5343,-2.9971
-0.40132,-1.584,0.5145,-0.96752
0.16268,-0.26263,-1.5091,-4.108
2.1285,-0.86661,-0.44804,4.679
1.9954,-1.1009,1.7654,14.409
0.22417,2.1588,-0.35459,11.535
2.0056,-0.50154,2.1283,18.652
-2.2409,-0.60288,-0.63461,-8.3072
1.543,0.46423,0.99123,15.442
-0.82548,-2.1575,0.44313,-4.8907
-1.3566,-1.4738,-1.9957,-15.943
1.612,1.1181,-0.43802,11.118
-0.75883,0.37574,2.1235,13.844
-1.6726,-1.4988,-2.2222,-18.125
-2.3593,1.7174,-0.57976,0.8928
2.2768,-0.38135,-1.2968,2.8211
0.90145,0.22375,-1.361,0.7946
1.8028,0.13984,-0.7144,6.3958
2.1955,-1.5745,2.1205,14.891
0.90097,-2.0916,0.012492,-1.6008
2.0871,-0.17953,1.5162,17.124
-1.2165,-2.3472,-0.74864,-12.782
1.9281,-0.32508,-0.20659,7.451
2.1002,0.28932,2.2555,22.735
-0.99968,0.69391,-1.8351,-5.3988
-2.133,-2.3289,-2.1485,-22.457
1.337,1.0495,1.0304,17.361
-2.0752,-1.6534,2.1585,1.9533
1.1438,0.46691,-1.9555,-0.47837
-0.26055,0.54032,0.75848,9.1721
0.75624,1.3618,-1.7697,2.8675
-1.6525,-2.2186,0.96981,-4.9829
0.15725,1.7736,0.62807,14.707
0.669,-0.57858,-2.2814,-7.7142
-2.4295,-0.50191,1.4896,2.1519
-0.14814,-0.87291,2.4311,12.219
1.9316,0.27695,-0.31628,9.3213
-1.9299,-1.0229,-0.77626,-9.7625
-0.28729,-0.6694,-2.256,-10.819
0.79774,-0.75476,-1.374,-3.4957
-1.0261,0.65112,0.40506,5.5514
2.2518,0.82221,0.50688,16.579
0.97143,2.4605,-1.2374,10.569
-1.466,2.2218,0.77171,12.348
0.27381,-0.74826,-2.1995,-9.1692
1.8964,-1.535,2.2025,14.562
0.28929,2.0979,-2.0373,3.0727
1.2617,-1.0565,-0.83011,-0.5917
1.9745,0.2543,0.75525,14.717
1.7092,2.0966,0.019554,17.612
-1.8457,-2.0498,0.15463,-8.9631
-1.5542,-1.2115,-0.60438,-8.5307
-1.7318,-0.36476,1.3445,4.0682
-2.3555,0.38862,-1.0874,-6.9492
-2.4546,1.9976,0.74636,8.3585
0.48226,-1.4089,2.1109,10.366
0.54525,2.3352,-0.84664,10.743
2.0946,-0.33009,1.5672,16.799
1.1679,1.4241,1.4382,20.391
-0.99427,0.12617,-1.8784,-7.8701
-0.022128,-0.84362,-1.7131,-8.0062
-1.2092,-0.34203,-0.42501,-3.1207
1.1643,1.0895,0.93666,16.534
-1.9162,2.0811,0.78852,10.518
1.2302,1.9501,0.89989,19.991
1.5489,-1.8265,-2.4531,-10.924
1.2262,-1.9004,-1.857,-9.208
-0.81428,1.9673,1.3195,16.024
0.42162,0.76543,1.7096,16.874
-0.15524,-2.2986,1.2347,0.51356
-2.0637,0.02358,2.2226,9.0164
1.6436,1.9723,2.0986,27.313
0.92972,-0.57136,-1.3846,-2.4194
-1.1634,-1.0397,0.048836,-3.4049
2.3474,-1.3298,1.4387,12.916
-1.5811,-1.4953,0.11226,-6.1631
-1.0003,-0.59847,0.58696,1.54
-0.44408,0.47395,0.2912,6.0196
-1.3176,-1.1581,1.155,1.1899
-1.5247,0.61221,-2.183,-9.0403
1.0269,1.5228,-0.036067,12.992
-1.5973,-1.9801,-1.3504,-15.464
0.11166,1.1462,-0.81304,4.8546
-1.0191,0.74295,0.25819,5.2053
-0.18609,-0.12673,1.2184,9.027
2.1262,2.1646,-0.43847,16.844
-1.4206,-2.0178,0.038092,-8.1423
-2.495,0.49553,-1.8551,-10.778
2.033,-1.3322,-1.4258,-2.3587
0.90021,-2.3384,-1.0359,-7.8321
0.074759,0.3993,-0.25017,4.5706
0.11034,1.711,-1.2986,4.682
-1.9854,0.28448,-1.1837,-6.7367
2.4844,1.6994,1.9579,28.04
-0.70516,-1.4752,0.4307,-1.8629
0.62621,0.60627,2.1934,19.271
-0.53317,-1.6299,0.5904,-1.1671
-2.4617,-1.0523,-1.2464,-13.826
0.22642,-2.4075,-1.9873,-14.887
0.045552,1.0075,0.23182,9.3257
-1.2661,2.2605,-0.28677,7.8097
-2.273,1.245,0.95753,6.9488
1.7086,1.2836,1.2972,20.746
-2.2588,0.21045,-0.50289,-4.4489
-0.9184,-1.0897,0.33707,-1.4286
1.4171,-1.2756,-1.4721,-4.2116
2.362,-1.0684,2.2176,17.901
0.43232,2.3157,0.064033,14.88
1.3902,-1.3465,-1.1188,-2.8093
1.1385,0.18661,-1.3543,1.3904
0.75493,-1.475,2.2646,11.688
0.82308,-0.32979,0.9471,9.8856
2.1939,-1.7889,1.0394,8.6228
0.17541,-0.62208,0.78461,5.9609
-0.5078,1.4678,1.3948,15.322
0.85229,1.5641,0.40235,14.825
-0.29733,2.019,0.016151,11.265
-1.8356,0.20188,1.8937,8.7689
-0.30398,1.5893,-0.53525,6.7691
0.23821,1.0421,-1.2868,2.4489
-0.52432,-2.284,-1.0919,-12.168
-0.50864,-1.7703,2.0239,5.5123
1.2567,-1.3333,1.0134,7.5038
0.11175,-1.2665,1.7653,8.0957
-0.047835,-1.6486,-0.60658,-5.7708
-2.0566,-1.3247,0.66511,-4.1431
-1.2457,-1.1227,-2.3422,-15.939
-0.2622,2.258,2.1002,22.746
0.6898,-0.76665,-0.15127,2.2465
1.0472,-1.0134,0.099516,3.5857
2.4631,-0.47787,1.3316,16.136
2.161,-0.98881,-0.81892,2.4331
-2.0389,1.2866,0.62993,6.1793
2.2677,-0.70128,-0.86549,3.6705
-1.686,-1.8755,-0.94447,-13.282
2.3523,0.58591,0.73039,17.052
0.48503,-0.7224,-0.33154,0.90778
-1.2989,-0.68531,-1.9856,-12.566
-2.1485,-2.1576,-1.3192,-17.672
-0.99979,1.8358,2.3589,20.138
1.5677,-0.21052,0.99449,12.834
-2.1165,-2.1119,0.79725,-6.8108
-0.72763,2.0246,-0.86951,5.568
-1.8399,-1.0915,-2.4009,-17.89
-1.7091,0.56939,0.35236,2.9121
