@relation bank-new

@attribute id {ID12701,ID12702,ID12703,ID12704,ID12705,ID12706,ID12707,ID12708,ID12709,ID12710,ID12711,ID12712,ID12713,ID12714,ID12715,ID12716,ID12717,ID12718,ID12719,ID12720,ID12721,ID12722,ID12723,ID12724,ID12725,ID12726,ID12727,ID12728,ID12729,ID12730,ID12731,ID12732,ID12733,ID12734,ID12735,ID12736,ID12737,ID12738,ID12739,ID12740,ID12741,ID12742,ID12743,ID12744,ID12745,ID12746,ID12747,ID12748,ID12749,ID12750,ID12751,ID12752,ID12753,ID12754,ID12755,ID12756,ID12757,ID12758,ID12759,ID12760,ID12761,ID12762,ID12763,ID12764,ID12765,ID12766,ID12767,ID12768,ID12769,ID12770,ID12771,ID12772,ID12773,ID12774,ID12775,ID12776,ID12777,ID12778,ID12779,ID12780,ID12781,ID12782,ID12783,ID12784,ID12785,ID12786,ID12787,ID12788,ID12789,ID12790,ID12791,ID12792,ID12793,ID12794,ID12795,ID12796,ID12797,ID12798,ID12799,ID12800,ID12801,ID12802,ID12803,ID12804,ID12805,ID12806,ID12807,ID12808,ID12809,ID12810,ID12811,ID12812,ID12813,ID12814,ID12815,ID12816,ID12817,ID12818,ID12819,ID12820,ID12821,ID12822,ID12823,ID12824,ID12825,ID12826,ID12827,ID12828,ID12829,ID12830,ID12831,ID12832,ID12833,ID12834,ID12835,ID12836,ID12837,ID12838,ID12839,ID12840,ID12841,ID12842,ID12843,ID12844,ID12845,ID12846,ID12847,ID12848,ID12849,ID12850,ID12851,ID12852,ID12853,ID12854,ID12855,ID12856,ID12857,ID12858,ID12859,ID12860,ID12861,ID12862,ID12863,ID12864,ID12865,ID12866,ID12867,ID12868,ID12869,ID12870,ID12871,ID12872,ID12873,ID12874,ID12875,ID12876,ID12877,ID12878,ID12879,ID12880,ID12881,ID12882,ID12883,ID12884,ID12885,ID12886,ID12887,ID12888,ID12889,ID12890,ID12891,ID12892,ID12893,ID12894,ID12895,ID12896,ID12897,ID12898,ID12899,ID12900}
@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children numeric
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}
@data
ID12701,23,MALE,INNER_CITY,18766.9,YES,0,YES,YES,NO,YES,?
ID12702,30,MALE,RURAL,9915.67,NO,1,NO,YES,NO,YES,?
ID12703,45,FEMALE,RURAL,21881.6,NO,0,YES,YES,YES,NO,?
ID12704,50,MALE,TOWN,46794.4,YES,2,NO,YES,NO,YES,?
ID12705,41,FEMALE,INNER_CITY,20721.1,YES,0,YES,YES,YES,NO,?
ID12706,20,MALE,INNER_CITY,16688.5,NO,1,NO,YES,YES,YES,?
ID12707,46,FEMALE,RURAL,39068,YES,0,YES,YES,NO,YES,?
ID12708,50,FEMALE,INNER_CITY,27740.8,YES,1,YES,YES,NO,YES,?
ID12709,42,MALE,INNER_CITY,33584.9,NO,3,YES,YES,NO,NO,?
ID12710,57,FEMALE,TOWN,19621.3,YES,1,YES,NO,YES,NO,?
ID12711,63,FEMALE,INNER_CITY,47630.9,YES,0,NO,YES,NO,YES,?
ID12712,26,FEMALE,INNER_CITY,22378.5,NO,0,YES,NO,YES,YES,?
ID12713,62,FEMALE,RURAL,20837.1,YES,0,YES,YES,YES,NO,?
ID12714,26,FEMALE,SUBURBAN,23912.7,YES,0,YES,YES,YES,NO,?
ID12715,19,MALE,RURAL,8005.13,YES,1,NO,YES,YES,NO,?
ID12716,44,MALE,TOWN,34961.7,YES,1,NO,NO,NO,YES,?
ID12717,32,FEMALE,INNER_CITY,24627.6,YES,0,YES,YES,YES,YES,?
ID12718,56,FEMALE,RURAL,47315.3,YES,3,YES,YES,NO,NO,?
ID12719,26,MALE,TOWN,13196.2,YES,3,NO,YES,YES,NO,?
ID12720,43,FEMALE,TOWN,20528.9,NO,3,YES,NO,YES,NO,?
ID12721,40,MALE,TOWN,37227.8,NO,1,YES,YES,YES,NO,?
ID12722,29,FEMALE,INNER_CITY,21022.6,YES,2,NO,NO,YES,NO,?
ID12723,54,MALE,RURAL,49986.7,YES,1,YES,YES,YES,NO,?
ID12724,51,MALE,RURAL,44199.9,YES,0,YES,YES,YES,YES,?
ID12725,24,FEMALE,INNER_CITY,20050.2,YES,3,YES,YES,NO,NO,?
ID12726,20,FEMALE,SUBURBAN,13013.9,NO,2,NO,YES,NO,YES,?
ID12727,48,FEMALE,TOWN,39465.8,YES,0,YES,NO,NO,NO,?
